repo,year,bus50,doc_only_rate,touch_commits
erpnext,9,1.0,0.95,20
erpnext,10,3.0,1.0,11
ohmyzsh,1,2.0,1.0,22
ohmyzsh,2,3.0,0.75,8
ohmyzsh,3,2.0,0.833333,6
ohmyzsh,4,1.0,0.941176,17
ohmyzsh,5,2.0,0.75,16
ohmyzsh,6,2.0,1.0,10
ohmyzsh,7,3.0,0.6,10
ohmyzsh,8,3.0,0.888889,9
ohmyzsh,9,2.0,0.636364,11
ohmyzsh,10,2.0,0.625,8
kafka,1,3.0,0.333333,12
kafka,2,1.0,0.5,8
kafka,3,3.0,0.444444,9
kafka,4,3.0,0.333333,12
kafka,5,2.0,0.294118,17
kafka,6,2.0,0.6,10
kafka,7,2.0,0.666667,6
kafka,8,2.0,0.857143,7
kafka,9,4.0,0.533333,30
kafka,10,4.0,0.75,12
d3,1,1.0,0.548387,31
d3,2,1.0,0.0,1
d3,3,,,0
d3,4,1.0,0.833333,6
d3,5,1.0,1.0,2
d3,6,1.0,0.5,4
d3,7,1.0,0.5,2
d3,8,1.0,0.666667,3
d3,9,1.0,1.0,2
d3,10,1.0,1.0,1
Rocket.Chat,1,2.0,0.521739,115
Rocket.Chat,2,1.0,0.36875,160
Rocket.Chat,3,1.0,0.17,100
Rocket.Chat,4,1.0,0.119048,126
Rocket.Chat,5,1.0,0.097403,154
Rocket.Chat,6,1.0,0.075758,132
Rocket.Chat,7,2.0,0.081633,98
Rocket.Chat,8,1.0,0.375,8
Rocket.Chat,9,4.0,0.909091,11
Rocket.Chat,10,1.0,1.0,6
azure-quickstart-templates,1,2.0,0.4,35
azure-quickstart-templates,2,2.0,0.666667,6
azure-quickstart-templates,3,2.0,1.0,4
azure-quickstart-templates,4,1.0,0.25,4
azure-quickstart-templates,5,1.0,1.0,4
azure-quickstart-templates,6,1.0,1.0,2
azure-quickstart-templates,7,1.0,0.0,1
azure-quickstart-templates,8,,,0
azure-quickstart-templates,9,1.0,1.0,1
azure-quickstart-templates,10,,,0
moby,1,4.0,0.88764,89
moby,2,3.0,0.5,30
moby,3,5.0,0.529412,17
moby,4,1.0,0.846154,13
moby,5,1.0,0.8,5
moby,6,2.0,0.4,5
moby,7,2.0,0.952381,21
moby,8,1.0,0.714286,14
moby,9,2.0,0.736842,19
moby,10,2.0,0.636364,11
etcd,1,2.0,0.875,24
etcd,2,1.0,0.9,50
etcd,3,3.0,0.88,25
etcd,4,2.0,0.73913,23
etcd,5,3.0,0.75,16
etcd,6,2.0,0.916667,24
etcd,7,1.0,0.774194,31
etcd,8,3.0,0.88,25
etcd,9,3.0,1.0,5
etcd,10,2.0,0.666667,6
homebrew-cask,1,1.0,0.947368,57
homebrew-cask,2,1.0,0.9375,32
homebrew-cask,3,2.0,0.714286,21
homebrew-cask,4,1.0,1.0,9
homebrew-cask,5,2.0,0.882353,17
homebrew-cask,6,3.0,0.75,8
homebrew-cask,7,1.0,1.0,2
homebrew-cask,8,3.0,0.727273,11
homebrew-cask,9,1.0,1.0,2
homebrew-cask,10,2.0,1.0,8
html5-boilerplate,1,1.0,0.625,8
html5-boilerplate,2,2.0,0.823529,17
html5-boilerplate,3,1.0,0.571429,7
html5-boilerplate,4,2.0,0.764706,17
html5-boilerplate,5,2.0,0.75,12
html5-boilerplate,6,1.0,0.909091,11
html5-boilerplate,7,2.0,0.75,8
html5-boilerplate,8,2.0,0.466667,15
html5-boilerplate,9,,,0
html5-boilerplate,10,1.0,1.0,1
youtube-dl,1,1.0,0.992439,529
youtube-dl,2,1.0,1.0,205
youtube-dl,3,1.0,0.97619,126
youtube-dl,4,1.0,1.0,74
youtube-dl,5,1.0,0.989796,98
youtube-dl,6,1.0,1.0,7
youtube-dl,7,2.0,1.0,3
youtube-dl,8,1.0,1.0,1
youtube-dl,9,,,0
youtube-dl,10,,,0
java-design-patterns,1,2.0,0.666667,3
java-design-patterns,2,1.0,1.0,5
java-design-patterns,3,1.0,1.0,2
java-design-patterns,4,2.0,1.0,4
java-design-patterns,5,2.0,0.233161,193
java-design-patterns,6,5.0,0.181818,44
java-design-patterns,7,3.0,0.072289,83
java-design-patterns,8,1.0,0.054348,92
java-design-patterns,9,1.0,0.040816,49
java-design-patterns,10,1.0,0.166667,6
symfony,1,1.0,0.969697,33
symfony,2,1.0,0.96875,32
symfony,3,1.0,1.0,24
symfony,4,2.0,0.884615,26
symfony,5,1.0,0.973684,38
symfony,6,1.0,1.0,27
symfony,7,1.0,0.962963,27
symfony,8,1.0,1.0,30
symfony,9,1.0,1.0,21
symfony,10,1.0,1.0,36
dubbo,1,1.0,1.0,3
dubbo,2,2.0,0.894737,38
dubbo,3,3.0,0.865672,67
dubbo,4,1.0,0.791667,24
dubbo,5,1.0,1.0,2
dubbo,6,2.0,0.6,15
dubbo,7,4.0,0.777778,9
dubbo,8,3.0,0.5625,16
dubbo,9,2.0,0.9,10
dubbo,10,1.0,1.0,2
jenkins,1,2.0,0.964029,139
jenkins,2,1.0,1.0,7
jenkins,3,2.0,1.0,4
jenkins,4,2.0,0.95,20
jenkins,5,2.0,0.8,10
jenkins,6,2.0,0.75,8
jenkins,7,2.0,0.9,20
jenkins,8,2.0,0.9,10
jenkins,9,4.0,0.727273,11
jenkins,10,2.0,0.666667,9
node,1,9.0,0.915493,213
node,2,6.0,0.870536,224
node,3,4.0,0.894231,208
node,4,6.0,0.886228,167
node,5,7.0,0.876404,178
node,6,2.0,0.639871,311
node,7,8.0,0.824742,194
node,8,5.0,0.927007,137
node,9,5.0,0.875,168
node,10,4.0,0.921212,165
kubernetes,1,6.0,0.960894,179
kubernetes,2,6.0,0.826667,75
kubernetes,3,6.0,0.913043,23
kubernetes,4,4.0,0.9375,16
kubernetes,5,3.0,0.857143,7
kubernetes,6,2.0,1.0,3
kubernetes,7,3.0,1.0,8
kubernetes,8,1.0,0.5,2
kubernetes,9,1.0,1.0,1
kubernetes,10,1.0,1.0,2
qmk_firmware,1,4.0,0.879518,83
qmk_firmware,2,1.0,0.846154,13
qmk_firmware,3,2.0,0.875,8
qmk_firmware,4,2.0,0.875,8
qmk_firmware,5,1.0,1.0,7
qmk_firmware,6,1.0,0.666667,6
qmk_firmware,7,1.0,1.0,8
qmk_firmware,8,1.0,1.0,9
qmk_firmware,9,1.0,1.0,12
qmk_firmware,10,1.0,1.0,6
darknet,1,1.0,1.0,1
darknet,2,1.0,0.666667,3
darknet,3,,,0
darknet,4,1.0,1.0,1
