repo,category,n_commits,entropy_norm,awr,n_contributors
todomvc,onboarding_process,2,0.1686130986895011,0.03278688524590164,2
todomvc,governance_policy,0,,,0
todomvc,change_tracking,2,0.1686130986895011,0.03278688524590164,2
todomvc,legal_attribution,1,0.0,0.01639344262295082,1
vscode,onboarding_process,31,0.6857130879352455,0.3114754098360656,22
vscode,governance_policy,4,0.3372261973790022,0.06557377049180328,4
vscode,change_tracking,0,,,0
vscode,legal_attribution,0,,,0
youtube-dl,onboarding_process,18,0.5203482192285361,0.18032786885245902,9
youtube-dl,governance_policy,0,,,0
youtube-dl,change_tracking,89,0.5202806587575143,0.19672131147540983,3
youtube-dl,legal_attribution,2,0.1686130986895011,0.03278688524590164,2
zxing,onboarding_process,18,0.5952873742016478,0.21311475409836064,8
zxing,governance_policy,0,,,0
zxing,change_tracking,0,,,0
zxing,legal_attribution,0,,,0
